,0
0, 중국원양자원의 자회사 복건성연강현원양어업유한공사가 오징어꽁치 원양어선 척을 억원에 구매할 계획이라고 일 공시했다. 투자액은 자기자본 대비 .에 해당한다. 회사 측은 지난해 월 오징어꽁치원양어선 선박건조 척에 대한 라이선스를 취득했다며 척 가운데 척은 이미 출항했고 복안시금호선박공정유한공사에서 척을 추가 구매할 계획이라고 밝혔다.생활건강이 년 영업이익 억원으로 전기에 비해 . 증가했다고 일 공시했다. 같은 기간 매출은 조억원으로 . 증가했고 당기순이익은 억원으로 . 증가했다.해운은 주가 안정 및 투자자 보호를 위해 억만원 규모의 자사주 만주를 유가증권시장을 통해 직접 취득할 예정이라고 일 공시했다. 취득예상기간은 오는 월일까지다.코아크로스는 운영자금 마련을 위해 억원 규모 제 자배정 유상증자를 결정했다고 일 공시했다.전자가 년 분기 영업이익 억원으로 전분기에 비해 . 증가했다고 일 공시했다. 같은 기간 매출은 조억원으로 전분기에 비해 . 증가했다. 당기순손실은 억원으로 적자전환했다.청보산업은 지난해 영업이익이 억만원으로 전년 대비 . 줄었다고 일 공시했다. 매출액은 억만원으로 전년 대비 . 줄었고 당기순이익은 억만원으로 . 줄었다. 회사측은 환율하락 및 세계경제 하락으로 인한 발주처의 주문 감소 때문이라고 설명했다.청보산업은 보통주 주당 원의 현금 결산배당을 실시한다고 일 공시했다.코텍은 지난해 영업이익이 억만원으로 전년 대비 . 늘었다고 일 공시했다. 매출액은 억만원으로 전년 대비 . 늘었고 당기순이익은 억만원으로 . 늘었다. 회사측은 양대 사업축인 카지노용 모니터와 전자칠판의 매출이 증가했기 때문이라고 설명했다.코텍은 보통주 주당 원의 현금 결산배당을 실시한다고 일 공시했다.화학은 일 오후 서울 여의도 증권거래소에서 실적발표회를 열고 지난해 매출 조억원에 영업이익은 조억원으로 집계됐다고 밝혔다. 전년대비 매출은  줄어든 반면 영업이익은  늘었다. 지난해 분기 매출은 전년동기에 비해 . 줄어든 조억원으로 집계됐다. 분기 영업이익은 억원으로 전년대비  늘었다.이노텍은 지난해 영업이익이 억만원으로 전년 대비 . 줄었다고 일 공시했다. 매출액은 조억만원으로 전년 대비 . 줄었고 당기순이익은 억만원으로 . 줄었다. 회사측은 전방 시장 성장 둔화 및 업체간 경쟁 심화 때문이라고 설명했다.이노텍은 보통주 주당 원의 현금 결산배당을 실시한다고 일 공시했다. 시가배당률은 .로 총 배당금액은 억만원이다.화학이 지난해 분기 연결기준 영업이익 억원을 기록 전분기에 비해 . 감소했다고 일 공시했다. 같은 기간 매출은 조억원으로 . 감소했으며 당기순이익은 억원으로 . 감소했다. 전년동기와 비교하면 매출은 . 감소했으며 영업이익은  당기순이익은 . 증가했다.화학은 일 서울 여의도 증권거래소에서 분기 실적발표회를 열고 올해 조억원의 매출을 달성하겠다고 밝혔다. 부문별 실적목표는 기초소재가 조억원 정보전자소재는 조억원 전지부문은 조원이 목표다.생활건강은 보통주 주당 원을 종류주 주당 원을 현금배당할 계획이라고 일 공시했다. 배당금 총액은 억만원으로 보통주 시가배당률은 . 종류주 시가배당률은 .다.디스플레이가 년 연결기준 영업이익 조억원을 기록 전기에 비해 . 증가했다고 일 공시했다. 같은 기간 매출은 조억원으로 전기에 비해 . 증가했으며 당기순이익은 조억원으로 . 증가했다.디스플레이는 보통주 주당 원을 현금배당할 계획이라고 일 공시했다. 시가배당률은 .로 총 배당금액은 억만원이다.생활건강은 자회사 에버라이프의 미즈호 은행 채무 억만원에 대한 보증을 연장하기로 결정했다고 일 공시했다.한국거래소는 일 액션스퀘어에 대해 현저한 시황변동과 관련한 조회공시를 요구했다. 답변시한은 오는 일 오후 시까지다.텔콘은 지난해 연결 영업손실이 억만원으로 적자전환했다고 일 공시했다. 같은 기간 매출액은 억만원으로 . 줄었고 당기순이익은 억만원으로 . 감소했다. 회사 측은 통신시장의 침체로 인한 전방산업의 투자지연으로 매출과 이익률이 감소했다고 말했다.덕신하우징은 지난해 영업이익이 억만원으로 전년 대비 . 줄었다고 일 공시했다. 매출액은 억만원으로 전년 대비 . 늘었고 당기순이익은 억만원으로 . 줄었다. 회사측은 적극적인 수주확대 정책으로 매출액은 증가했으나 전방산업 경기의 침체 및 과당경쟁으로 인한 수주가의 하락으로 매출이익이 감소했고 베트남 투자관련 비용 증가로 영업이익이 감소했다고 설명했다.디스플레이가 대형  디스플레이 생산 시설 증설에 억원을 투자한다고 일 공시했다. 투자금액은 자기자본 대비 .에 해당하며 기존  생산 설비를  생산용으로 전환할 계획이다. 회사 측은   경쟁력을 강화하고 시장 수요 확대에 대응하기 위한 투자라며 이번 분기부터 투자를 시작해 년 분기까지 진행할 계획이라고 설명했다.제이앤유글로벌은 종속회사 아이캔텍의 재무구조 개선을 위해 유증에 참여 주식 만주를 억원에 취득키로 했다고 일 공시했다. 취득 후 소유주식수는 만 주이며 지분비율은 .가 된다. 취득예정 일자는 다음달 일이다.테라셈은 지난해 영업이익이 억만원으로 전년 대비 . 줄었다고 일 공시했다. 매출액은 억만원으로 전년 대비 . 늘었고 당기순이익은 억만원으로 . 줄었다. 회사측은 매출처 다변화 및 시장점유율 확대로 매출이 증가했으나 판매단가 인하로 인해 영업이익이 감소했다고 설명했다.투비소프트는 지난해 영업이익이 억만원으로 전년 대비 . 줄었다고 일 공시했다. 매출액은 억만원으로 전년 대비 . 늘었고 당기순이익은 억만원으로 . 줄었다. 회사측은 미국 현지 법인의 마케팅 비용 및 개발비 증가에 따라 영업이익과 당기순이익이 감소했다고 설명했다.아이앤씨는 지난해 별도 기준 영업손실이 억만원으로 사업연도 연속 영업손실이 발생했다고 일 공시했다. 같은 기간 매출액은 억만원으로 . 늘었고 당기순손실은 억만원으로 적자 지속했다. 회사 측은 최근 사업연도 연속 영업손실 발생으로 동 사유가 감사보고서에 의해 확인될 경우 관리종목으로 지정될 수 있다고 설명했다.텔레칩스는 최대주주 변경을 수반하는 주식 담보제공 계약을 체결했다고 일 공시했다. 공시일 현재 최대주주 소유 주식 수는 만주로 담보권을 전부 실행시 주식 수는 만주로 변동된다. 회사 측은 기존 주식담보대출계약의 계약 변경 에 따른 것이라고 설명했다.신라에스지는 주식회사 동표의 주식 만주를 억만원에 취득키로 결정했다고 일 공시했다. 회사측은 회사 성장을 위한 사업의 다각화를 위한 것이라고 설명했다.한화케미칼이 한화화인케미칼 합병안이 이사회에서 원안대로 승인됐다고 일 공시했다. 한화케미칼이 한화화인케미칼을 흡수하는 형태로 합병비율은  대 .이며 합병기일은 오는 월 일이다.하우시스는 보통주 주당 원을 종류주 주당 원을 현금배당할 계획이라고 일 공시했다. 배당금 총액은 억만원으로 보통주 시가배당률은 . 종류주 시가배당률은 .다.하우시스가 년 분기 연결기준 영업이익 억원을 기록 전분기에 비해 . 감소했다고 일 공시했다. 같은 기간 매출은 억원으로 전기에 비해 . 감소했으며 당기순이익은 억원으로 . 감소했다. 전년동기와 비교하면 매출은 . 증가했으며 영업이익은 . 감소했고 당기순이익은 흑자전환했다.세븐스타웍스는 유동성 강화를 위해 경기도 안양시 만안구 토지 및 건물을 억원에 매각키로 했다고 일 공시했다.하이스틸이 지난해 연간 개별기준 영업손실 억원을 기록 적자전환했다고 일 공시했다. 같은 기간 매출액은 억원으로 전년 대비 . 감소했으며 당기순손실은 억원으로 전년 억원 대비 약 배 증가했다.교보증권은 지난해 영업이익이 억만원으로 전년 대비 . 늘었다고 일 공시했다. 매출액은 조억만원으로 전년 대비 . 늘었고 당기순이익은 억만원으로 . 늘었다. 회사측은   부문 등 주요영업부서의 수익 성장과 금리인하로 인해 수익이 증가했다고 설명했다.서울도시가스는 국제종합기계 인수 추진과 관련한 조회공시에 인수의향서를 제출했으나 인수 결정에 대해서는 검토 중이며 확정된 사항은 없다고 일 답변했다. 이어 향후 구체적인 내용이 확정되는 시점 또는 개월 이내 재공시하겠다고 말했다.대경기계기술이 금융기관과 선물환거래로 손실 억원이 발생했다고 일 공시했다. 손실액은 자기자본 대비 .에 해당한다. 회사 측은 환율변동위험을 감안해 각 프로젝트 별로 견적환율 이상 금액으로 금융기관과 파생상품계약을 체결했으나 예상치 못한 환율변동으로 손실이 발생했다고 설명했다.대우인터내셔널은 지난해 영업이익이 억만원으로 전년 대비 . 줄었다고 일 공시했다. 매출액은 조억만원으로 전년 대비 . 줄었고 당기순이익은 억만원으로 . 줄었다. 회사 측은 철강철강원료화학 등 주요품목 판매물량 확대에도 불구하고 세계경기 저성장 기조 및 국제 원자재가격 하락에 따라 매출이 감소했다며 당기순이익은 유가니켈 가격 하락으로 인한 관련 투자자산 손상인식으로 감소했다고 설명했다.대우인터내셔널은 보통주 주당 원을 현금배당할 계획이라고 일 공시했다. 시가배당률은 .로 총 배당금액은 억만원이다.풀무원이 년 연결기준 영업이익 억원을 기록 전년에 비해 . 감소했다고 일 공시했다.같은 기간 매출은 조억원으로 전년에 비해 . 증가했으며 당기손손실 억원을 기록하며 적자전환했다. 회사 측은 년 월 인수한 아사히식품공업주식회사의 직전사업연도와 당해사업연도간 인식기간 차이가 발생해 이익이 감소했다고 설명했다.한국토지신탁은 코레이트프리미어위탁관리부동산투자회사가 유상증자로 발행할 주식 취득 결정을 철회키로 했다고 일 공시했다. 회사 측은 코레이트프리미어위탁관리부동산투자회사가 추진하던 투자목적 부동산에 대한 매매계약 체결이 무산됨에 따라 당사의 투자의사에도 불구하고 주식취득 결정은 철회가 불가피하게 됐다고 설명했다.에스티큐브는 지난해 연결기준 영업손실이 억만원으로 전년 대비 적자규모가 . 줄었다고 일 공시했다. 매출액은 억만원으로 전년 대비 . 늘었고 당기순손실은 억만원으로 적자폭이 . 축소됐다. 회사 측은 부문 생산방식을 변경해 영업비용이 감소했고 채무를 상환해 금융비용이 감소했다고 설명했다.화학은 보통주 주당 원을 종류주 주당 원을 현금배당할 계획이라고 일 공시했다. 배당금 총액은 억만원으로 보통주 시가배당률은 . 종류주 시가배당률은 .다.이지웰페어는 산동러바이터전자상무유한공사 동북아투자그룹과 포괄적 수출계약을 체결했다고 일 공시했다. 계약기간은 이날부터 오는 월 일까지다. 회사 측은 이지웰페어 주식회사는 자체개발상품 및 상품 중국 내 경쟁력 있는 해외 브랜드의 영유아 이미용 생활용품 등을 산동러바이터전자상무유한공사에 공급한다고 설명했다. 계약기간 내 수출목표금액은 억원이다.는 자회사 화학이 년 결산배당으로 보통주 우선주 주당 각각 원 원을 현금 배당한다고 일 공시했다. 시가배당율은 . .다. 배당금총액은 억원이다.화학은 년 영업이익이 조억원으로 전년 동기 대비 . 증가했다고 일 공시했다. 매출은 조억원으로 . 줄었고 순이익은 조억원으로 . 늘었다.는 자회사 화학이 폴리실리콘사업 진출을 위한 신규 투자 결정을 철회한다고 일 공시했다.한국거래소 유가증권시장본부는 신규 투자 공시를 번복한 화학에 대한 불성실공시법인 지정을 일 예고했다.화학은 년 카자흐스탄 현지 업체와 체결한 석유화학 생산기지 건설 계약과 관련 전 세계 경제불황 심화로 사업 철수를 결정했다고 일 공시했다. 이에 따라 조인트벤처 지분 취득 규모는 억원에서 억원으로 감소했다.제일제강은 김행렬 사외이사가 일신상의 사유로 중도퇴임함에 따라 송하성 이인로 사외이사를 신규 선임했다고 일 공시했다. 이들의 임기는 년 월일까지다. 제일제강의 현 이사는 총 명이며 이중 사외이사는 명이다.풀무원은 자회사 풀무원식품이 년 연결기준 영업이익 억원을 기록 전년에 비해 . 감소했다고 일 공시했다. 같은 기간 매출은 조억원으로 전년에 비해 . 증가했으며 당기손손실 억원을 기록하며 적자전환했다. 회사 측은 년 월 인수한 아사히식품공업주식회사의 직전사업연도와 당해사업연도간 인식기간 차이가 발생해 이익이 감소했다고 설명했다.동양은 재무구조 개선을 위해 보통주 만주를 회생채권자 김응남씨 외 인에게 제자배정 유상증자키로 결정했다고 일 공시했다. 신주 발행가액은 주당 원이며 신주 상장 예정일은 오는 월일이다.다날은 최대주주 박성찬 전 대표가 보유 주식 만주에 대한 주식 담보제공 계약을 체결했다고 일 공시했다. 담보권자는 한국증권금융과 현대증권이다. 담보권이 전부 실행되면 박성찬 전 대표의 지분율은 기존 .에서 .로 감소한다.아이에스동서는 삼홍테크를  비율로 흡수합병키로 했다고 일 공시했다. 아이에스동서가 삼홍테크 주식 를 소유하고 있어 합병은 신주 발행 없이 이뤄질 예정이다. 합병 기일은 오는 월일이다.풀무원은 년 연결기준 영업이익 억만원을 기록 전년에 비해 . 줄었다고 일 공시했다. 같은 기간 매출은 조억만원으로 전년 대비 . 늘었고 당기순이익은 억만원으로 . 줄었다. 회사 측은 메르스 등 사회 이슈의 영향으로 당기순이익이 감소했다고 설명했다.권혜민 기자 ..저작권자  돈이 보이는 리얼타임 뉴스 머니투데이 무단전재 및 재배포 금지
1,Meritz Securities last year's operating profit was 100 billion won. Decline AhnLab's operating profit increased by KRW 100 million Last year Nextton's operating profit last year was KRW 100 million. Increase Hangeul and Computer Last year's sales exceeded 100 billion won for the first time Neopharm's operating profit last year was 100 billion won. Increase Networks Net loss of KRW billion last year Expenses due to restructuring Q Capital turned to profit of KRW 100 million last year Sungmoon Electronics Last year's operating loss decreased by KRW 100 million KEPCO's operating profit last year of KRW trillion. Increase Taewon C&T's operating profit last year was 100 million won. Increase Ilyang Pharm's operating profit last year was KRW 100 million. Hyundai Cement's operating profit last year increased to 100 million won. Increase Goldstar Tech Changed company name to BNC Company P&E Solution Last year's operating profit was KRW 100 million. The same last year's operating profit increased by 100 million won. Decrease Daeyang Metal's operating profit turned to black last year by 100 million won Gaon Media's last year's operating profit at 100 million won. Increase Hyundai Mipo Dockyard wins orders worth W100bn in Europe O Shopping's operating profit last year is W100bn; Decline Samsung Pharm issuance of convertible bonds worth KRW 100 billion NCsoft's operating profit last year was KRW 100 billion. Increase BH last year's operating loss turned into a loss of 100 million won Qro Holdings' operating loss of 100 million won Jinheung company's total capital encroachment Stop trading YMC Last year's operating profit increased by 100 million won Sajooyang Last year's operating profit increased by 100 million Won This exciting winter...
2,"The Bell|This article was published in the capital market media Money Today on Monday. Goldstar Tech is promoting structural changes by changing the company name and appointing a new board of directors. It was announced that at the general shareholders' meeting, the company would change the articles of incorporation, including the name change, and decide on other agenda items such as the appointment of inside directors. Goldstar Tech plans to change the company name to BNC Company. It is interpreted as a follow-up measure to enter the construction and financial investment platform business by carrying out a capital increase for BNC General Construction and other companies last year and acquiring Angang Venture Investment. Power generation system construction and manufacturing manufacturing and sales of lighting machinery and equipment manufacturing and sales, overseas construction business, technical consulting business, etc. will be added to the business objectives. In addition, Si-young Lee, a former researcher at the Medical Engineering Research Center at Samsung Seoul Hospital, and Hyo-dong Kim, a former Samsung Engineering graduate, will be appointed as new directors. to be. They are known to be related to strategic investors. Lee Hong-koo, CEO of Goldstar Tech, said that he will diversify business together with Angang Venture Investment and will advance into various platforms utilizing the strengths of listed companies and new technology financial operators. Unauthorized reproduction and redistribution of Money Today is prohibited."
3,"Listed companies that posted operating losses for consecutive years, such as INCS Comtech, decide whether to delist after a substantive examination when the listed companies continue to lose money for consecutive years. In the case of a listed company on the KOSDAQ market, if it records an annual loss for one consecutive year, it is designated as a management item and if it records a loss for one consecutive year, it may be removed from the stock market through a listing qualification substantive examination. The number of KOSDAQ-listed companies designated as management stocks by recording operating losses for consecutive business years up to 2016. Among these companies, the delisting procedure was initiated by the incumbent delisting. The remaining companies are expected to decide whether to retire soon. Currently, companies with operating losses for consecutive business years include Codez Combine Pacific Bio Regen Core Logic Sports Seoul Comz Topfield AD Chips Dongil Steel I&C Technology S S Comtech Joymax Corid. It recorded an operating loss of 10,000 won and started the stock exchange transfer procedure last month to be incorporated into a wholly owned subsidiary of Telecom, the largest shareholder. It is scheduled to be delisted on the next day. Corrid, a metal mineral wholesaler, was caught in accounting fraud last month, and the exchange is currently debating whether to delist it. INC and SSC Tech recorded cumulative operating losses of KRW 100 million until the quarter of last year, and if it is confirmed that they did not make up for the loss in the quarter, they will be designated as the subject of substantive examination for delisting decisions. Although it made a profit on a scale, it is in danger of being delisted if there is a deficit on the scale that erodes it in a quarter. Exchange officials previously followed the procedure for delisting immediately when a loss occurred in the first business year, but the listing regulations were revised at the end of last year. He said that from this year, the decision will be made after a substantive examination, and since it is the first settlement period after the change in the rules, it is necessary to wait and see whether or not it will be listed or not. News Meet also at the Naver News Stand. Unauthorized redistribution prohibited."
4,"If I&C and other companies do not turn to profit in the last quarter of last year, there is a growing awareness of companies at risk of exit, which are called 'earning season bombs'. Some KOSDAQ-listed companies are expected to experience operating losses for a year in a row, but their stock prices are on the rise, so caution is required for investment. According to FnGuide, a Japanese financial information company, companies designated as management stocks with losses for consecutive years, a requirement for delisting in the KOSDAQ market, are S&S. Cometek I&C, etc. are all dog sports. These stocks are eligible for delisting if losses continue this year. Comz is already undergoing a voluntary delisting process for incorporation into a wholly owned subsidiary of Telecom, and Corid has recently been delisted due to the detection of fraudulent accounting. If the performance does not turn to a large-scale surplus, there is a high possibility that it will be driven into commodities. SComtech recorded a cumulative operating loss of KRW 100 million until the quarter of last year. I&C also managed to record an operating surplus of 100 million won in the quarter last year, but it is unclear whether the accumulated loss will reach 100 million won and prevent the delisting crisis. The fate of other companies is determined by the quarterly results. Codez Combine, which suffered a controversy due to its inclusion in the small cap index at the beginning of last year, has accumulated operating profit of KRW 100 million until the quarter of last year, but the surplus is not large. Sports Seoul, a monthly settlement company, also achieved cumulative operating profit of more than KRW 100 million as of the first half of last year, but future performance will determine its fate. Companies at risk of delisting are mainly focused on single-shot trading aimed at a time when the stock price plummets after the listing qualification review. You have to be careful, though, because most of them are at a loss. An official from the securities industry said that as the earnings season has begun, you should make a decision to buy or sell based on the quarterly results, and said that you should be extra careful as investors take a lot of damage during the earnings season every year. The surest way to get acquainted with the economy"
5,"As the quarterly earnings season is in full swing, interest is also being drawn to listed companies, which are concerned about exiting the stock market due to sluggish earnings. Since it can be delisted if it records an operating loss for one consecutive year, listed companies that did not escape the operating loss for the quarter must make up for the operating loss in the quarter to avoid delisting. Among the listed stocks, the KOSDAQ listed company that recorded operating losses until the quarter of last year is INC SComtech. According to KOSDAQ regulations, if a listed company makes an operating loss for one consecutive year, it is designated as a management stock. INC, a company specializing in telecommunication semiconductors, recorded an accumulated operating loss of KRW 100 million until the quarter of last year. Although it succeeded in turning to a profit on a quarterly basis for the first time in over a year in the quarter of last year, the surplus was only KRW 100 million. Cumulative operating loss up to the quarter An operating profit of KRW 100 million or more must be paid in a quarter to prevent delisting. The company is expecting the deficit to be resolved and management items removed, saying that the performance of KEPCO's advanced metrology infrastructure business is reflected in some quarterly results. S Comtech was designated as a management item by recording a loss for consecutive years from last year to 2016, and it is recording an accumulated operating loss of KRW 100 million until the quarter. In addition, the reason for the management stock was added as the review opinion of the semi-annual report was rejected. Since the second half of last year, the company has suffered from two suspensions of trading due to the filing of bankruptcy by creditors. However, Corid was recently delisted after fraudulent accounting was discovered last year. Comz is in the process of voluntary delisting for Telecom's incorporation into a wholly owned subsidiary. Core Logic Codez Combine has been designated as a management item with losses for consecutive years, but it is a listed company that is recording a cumulative surplus until the quarter. However, there is a possibility of delisting depending on the quarterly performance as Core Logic's accumulated surplus for the quarter was only 100 million won, and Codez Combine's was only 100 million won. In particular, Codez Combine was known as out of stock last year, and its stock price once rose to 10,000 won, and its stock price is currently hovering around the won. It is said that it is necessary to be very careful about investment because it is a company with abnormal losses, and if an operating loss occurs for more than a year, the company's management is a chronic loss structure, he said."
6,"S Comtech announced on the same day that it would adjust the conversion price of convertible bonds from KRW to KRW in accordance with the fall in market price. As a result, the number of convertible stocks after the adjustment increased to 10,000 shares. Reporter Park Si-jin . The surest way to get acquainted with the Seoul economy"
7,The Korea Exchange KOSDAQ Market Headquarters announced on the day that it would lift the suspension of stock trading from the coming date for the resolution of the bankruptcy filing against S.S.Comtech. Reporter Seong-Hye Kwon .. The most fun and delicious recipe Yang Nak-gyu's window to see the world The eyes to see the economy Asia Prohibition of distribution of economic reproduction without permission
8,"S Comtech announced on the day that it had decided to postpone the convening of the general meeting of shareholders from next month to the end of next month. Accordingly, the closing date of the shareholder list is also postponed from Monday to Sunday next year."
9,"SComtech is showing a sharp decline on the first day of resuming trading. It is trading at a lowered won. At one point during the day, it went down to the won and recorded the lowest price in the state. SComtech announced on the day that it had received a decision to dismiss the bankruptcy application from the Cheongju District Court. Accordingly, the Korea Exchange announced that the suspension of SComtech's trading would be lifted from the day before. SComtech announced last month that a creditor had filed for bankruptcy. The exchange has stopped trading SSC Tech since then. Reporter Kwon Seong-hoe .. Special exhibition with the strongest fun Hoan Miro Yang Nak-gyu's window to see the world Eyes to see the economy Asian economy Unauthorized reproduction is prohibited"
