,0
0,"Recently, notices of designation of unfaithful disclosure corporations have been lined up. Investors need to be careful because if designated as a disloyal disclosure corporation, they may suffer disadvantages such as suspension of trading. It was decided to invest 100 million won in Shanghai Mr. Pizza Chaneum Management Co., Ltd., a joint venture with an investment company. The decision to acquire stocks and equity securities of other corporations became a problem with the announcement on the same day, but the announcement of the MPK Group the day before. Not only this, but also Yeoni Information and Communication Oullim Information Technology Panajin recently received notice of designation as an unfaithful disclosure corporation. This is because, in the case of Yani Information and Communication, it announced that it would withdraw its plan to establish Yeoni Electronics Technology Co., Ltd. in Sangseong-gu, Suzhou, China. Information technology announced that it would reduce the size of the capital increase from 100 million won to 100 million won, and Panajin delayed the disclosure of embezzlement. If it is designated as a corporation with infidelity and the penalty points imposed are more than one point or more, trading is suspended. A KOSDAQ official said that KOSDAQ companies in particular complained of a shortage of manpower or had difficulties in familiarizing themselves with regulations related to disclosure. The delay in the application or decision on the judgment was followed by the withdrawal or delay of the capital increase decision.. Lula Ko Young-wook is being investigated by the police over allegations of sexual assault Shin Se-kyung The power of bangs Only one bangs has changed, but the image is completely different. Ha Ji-won's appearance revealed years ago What has changed North Korean Kim Jong-un's greatest concern is sexually transmitted diseases Why Herald Unauthorized reproduction and redistribution prohibited"
1,"Companies that have been designated as investment alerts are recording their lowest price. As of the morning of the morning of the day, Jungang Ocean Sky New Farm Entertainment Technology Paru Renco Eduence Curiosity Neurotech Ubicom KDC Korea Resources Development Investment TMOI&M GMP Mtekvision Ilkyung Industrial Development etc. In addition, companies designated as investors' attention this year are showing a sharp decline, with Goldstar Tech and BTC Information and Communication also falling to the lower limit level. As management items, Netwave Tongyang Telecom DVS Korea DH Fashion Infinite Investment Blue Gem DNC Inet School Acutech Oullim Networks Oullim Elsis Oullim Information Technology Enspert Orient Precision Orient Presentation Wookyung Ui Energy Yuil Ensys Exjax Innocell Insprit JH Cos GI Bio G&ST Clunet Theraum Pyeongan Trading PSM Hubbyron and other companies were designated. As for non-managed items, Kukje DY Goldstar Tech Neurotech Dworks Global Digital Ocean Life & B Renco BTC Information Communication Sky New Farm Stem Science IDEN Eduence Ace Hitech A&C Bio Holdings Acuris Enter Technology M Venture Investment Mtek Vision Ubicom Ilkyung Industrial Development Jungang Ocean GMP KDC KJ Freetech Curious TMO E&M Paru Korea Resources Investment Development Hanlim Startup Investment Hesborne Hyundai IBT Ventilation items are announced every year according to the selection criteria. Inappropriate internal accounting management system violation of the duty to keep holding It is highly likely to be designated as a revitalizing item if there are reasons such as disciple assignment without actual funding, capital increase, etc. Business performance of listed companies JoongAng Ocean | Investment alert items I quit meat and practiced vegetarianism on weekdays, 10,000 pre-subscribers The price of the new Santa Fe ended while paying off debt The price of the new Santa Fe ended up in this way My older brother got fat and broke up The man didn't open the grenade but he didn't open the grenade and saw tiny beads Terrible Song Jeong-ryeol Reporter Copyright holder Real-time news where money is visible Money Today, unauthorized reproduction and redistribution prohibited"
2,Hwa-Yoo Merchant Grant Ceratec Free Grant Abaco GD Su-Yu Merchant Grant Briday Retail Trace Oullim Information Technology Wood Oil Merchant Grant Hyundai Savings Bank Free Grant Cofil. Reporter Hak-jae Kim Today's hot news All you need to do is take a picture of a contact accident. The kimchi delivered to the Blue House is going to be a huge hit.. etc. 100 million won lotto etc. The main character is a truck of the richest man Cho's family truck The world's richest supercar Singer Kim Hye-yeon succeeded in dieting. financial news. Unauthorized redistribution prohibited
3,"Decision on interim dividend of KRW per share in the KOSPI Korea Savings Bank Decided to sell 10,000 shares of Yeongnam Savings Bank stock worth KRW 100 million to strengthen financial soundness such as increasing equity capital Establishment of internal control improvement plan for stabilization implementation and transparency enhancement Contract with Korea Cast Iron Pipe Industry Procurement Service for supply of ductile cast iron pipe for water supply in the amount of KRW 100 million KRW in cash dividend per share of Yuhwa Securities Equipment supply contract Signed a 100 million won construction contract with Seohee Construction and Gyeongbuk Pohang Acquisition of a Chinese patent for the Infopia biosensor reading device Acquired a patent related to the COMMAX waveguide structure Acquired a 100 million won repeater supply contract with FRTech Send/receive solution supply contract Announcement of designation as an unfaithful disclosure corporation due to changes in information technology disclosure. Received objections related to the delisting of Ntopia. Signed a trust contract to acquire treasury stock worth Seegen billion won Signed a contract to develop economical audio semiconductors worth KRW 100 million Neurotech-invested corporation GNTitama's voluntary withdrawal of application for rehabilitation procedure The day before menstruation I feel sorry for toxic Korean women A powerful high-tech stealth aircraft to keep to stop the weapon of fear that the Korean military will devastate As it turns out, a powerful phone has emerged to threaten the Galaxy Submarine warship missile covertly"
4,"Banglim billion treasury stock acquisition trust contract, etc. Extension JNK Heater billion treasury stock acquisition trust contract signing Oullim Information Technology Registered common stock stock capital increase Commax waveguide structure and wavelength conversion package patent acquisition Yuwon Comtech bonds before maturity Acquisition Contract with KT KT for the supply of items other than repeaters worth KRW 100 million, the main disposal of heavy industry. Holdings common stock share acquisition Daehan Jedang’s largest shareholder share purchaseDSK China .. contract with manufacturing equipment worth billions of won Poongsan treasury share acquisition Jinyang Holdings treasury share acquisition for price stabilization Signed a supply contract with a supply contract worth more than 100 million won with P&Tel CEO Jo Hyun-ho resigned Dongguk R&S Business slump and profitability deteriorated due to business slump due to the economic downturn Voice Korea Top New Song Competition Unveiling Why is Galaxy Unveiling Netizens' reaction is also below Samsung's expectations Media Ferguson Park Ji-sung wants to sell The world seen in the palm of your hand Mobile Newsies Copyright owner Sympathy media Newsis news agency. Unauthorized redistribution prohibited."
5,"The following are the main announcements released after the closing of the market on the day of the month. The Korea Stock Exchange announced that Jinheung Corporation and Namkwang Engineering & Construction submitted an audit report within the deadline for submitting the business report and decided to exclude them from the substantive review of delisting, saying that they were resolved from encroachment on capital. In response to the inquiry and disclosure request, the domestic shipbuilding industry said it was going to review it if it requested participation in the takeover, but said that it had not been requested so far and had not reviewed it in detail. Disclosure. Dongbu Construction, which was the largest shareholder by holding a stake of ., reduced its stake to . As a result, Dongbu CNI, which owns ., became the largest shareholder. Hanchang Paper announced that Park Soo-han and others had applied for an injunction on the suspension of new stocks issued by the board of directors on the previous day. Hanchang Paper announced that it would hire a lawyer to respond. Dongyang Systems announced that it had merged with Internet e-commerce company Mirrors. Tongyang Systems announced that it had decided to merge to create synergies in the service sector's technology and Mirror's e-commerce sector. Green Non-Life Insurance announced that the first business improvement plan it had submitted was disapproved by the Financial Services Commission, so it had to resubmit the business improvement plan. Non-life insurance announced that it had received an arbitration decision from the Korean Commercial Arbitration Board last year to pay 10,000 dollars in insurance money to Display. The non-life insurance company said it plans to file a reinsurance claim with the reinsurer after paying the related insurance money. KOSDAQ market eCredible announced that it would spin off its business division in the e-commerce business. This is to implement the separate operation of the sector, which the Financial Services Commission put forward as a condition when the Financial Services Commission approved credit inquiry business for Incredibles last month. The name of the company to be split is eCredible Networks, and eCredible will own the stock. Uno & Company announced that it would sell 10,000 treasury shares through after-hours block trading to stimulate trading. The expected disposal amount is billions of won, and it will be conducted for domestic institutional investors. Semicisco announced that it had purchased 10,000 won of treasury stock for one hundred million won from the last day to the next. The Korea Exchange KOSDAQ Market Headquarters announced that Aztec's affiliated department would be changed from the mid-sized business department to the venture business department from the coming date. K-Trol will acquire 100 million won worth of treasury stock to enhance shareholder value through stock price stabilization. Announced that the trust contract for treasury stock acquisition will be extended. The extension period is on the next day, and the end date is on the next Monday. Cowon System announced that it would sell 10,000 shares of treasury stock to the employee stock ownership association at KRW per share. The Financial Supervisory Service (FSS) said that it had requested the submission of a correction report in accordance with the Act on Capital Markets and Financial Investment Business, saying that there was a problem with the securities declaration as a result of reviewing the securities declaration submitted by Theraum yesterday. Due to this, the securities declaration submitted by Theraum was classified as not accepted and ceased to be effective from that day. The disposal method is over-the-counter trading, and the stock price is the original amount to be disposed of in billions of won. The governor announced that Kwon Tae-jong was newly appointed as the resignation of CEO Jin Lee. Woollim Information Technology decided to issue a capital increase of 100 million won through discipleship to raise funds. announced that it did. The issuance price of new shares is KRW, and the largest shareholder, Oullim LS.Elantech, announced that it has decided to issue bonds with warrants worth KRW 100 million to raise operating capital. The price of the event is KRW.Modetour, with a quarterly operating profit of KRW 100 million, which is lower than the previous quarter. declared to have decreased. Sales were in the billions of won, compared to last year. The net profit for the year decreased to Rs. The KOSDAQ market headquarters of the Korea Exchange announced that C&S Technology was subject to delisting due to embezzlement and breach of trust. Disclosure. Chosun Biz Hot News Kim Tae-hee is the interviewer surprised by the interviewers It's a place where big hands gather at once, so Han Ga-in's pores are all visible."
6,"Incredibles announced on the day that it had decided to split its business division to strengthen management efficiency and enhance professionalism. The new company will be Ecredible Networks, which will be in charge of the e-marketplace service in the e-commerce business division. The spin-off date is on the following month, and the total number of issued shares of the company established through simple physical spin-off will be allocated to the company to be split. Korea The exchange announced on the same day that Namkwang Engineering & Construction had eliminated the full capital encroachment and that it had been excluded from the delisting substantive examination. It was announced on the same day that it was excluded from the review. As a result, the trading of shares of Jinheung Corporation will resume from today. Korea Investment Value Asset Management announced on the same day that it holds 10,000 shares for simple investment purposes. . The deadline for responses is the afternoon of the 1st. The Korea Exchange announced on the same day that Aztec acquired the certification qualification to meet the frequent venture requirements and changed its affiliated department from the Ministry of Medium-sized Enterprises to the Ministry of Venture Business. KT Roll sold the land around Yesan-gun, Chungcheongnam-do for 100 million won to build a new factory. Farmswell Bio announced on the day that it had decided to reduce short-term borrowings worth 100 million won to improve its financial structure. announced As a result, the largest shareholder's stake decreased to . Earlier on the day, the head of the National Office Financial Services Labor Union filed a complaint with the Seoul Central District Prosecutors' Office against the CEO of Green Non-Life Insurance on charges of business breach of trust. Meta BioMed is a company that manufactures digital door locks and repairs wired communication equipment. announced on the same day that it had decided to take over the company for 100 million won. Oullim Information Technology announced on the same day that it had decided to issue a capital increase in the form of a disciple allocation increase of 100 million won to raise operating funds. New shares to be issued through capital increase are Manchuria. Elantech announced on the day that it has decided to issue 100 million won worth of bearer-type, non-guaranteed, separable bonds with warrants to raise operating capital. The maturity date of the bonds is next year and the interest rate to maturity is . It was announced on the day that Mr. Han and others had filed an injunction against the issuance of new Manchuria stocks issued on the previous day. The company announced that it would hire a lawyer and respond. Dongyang Systems announced on the day that it had decided to merge with Mirrors, an affiliated company. to be. The expected date of listing for new shares after the merger is Monday. Green Non-Life Insurance announced on the same day that it had resubmitted its management improvement plan to the Financial Services Commission. It announced that it had resubmitted a management improvement plan, including an increase in capital, disposal of insolvent assets, restriction on holding of risky assets, a plan for merger and acquisition of discipleship, and a financial improvement plan. It was announced on the day that an arbitration decision was made to pay Rs. The non-life insurance company said that it would claim reinsurance from the reinsurer after paying the insurance money to the display. The Korea Exchange represented the company for reasons such as excessive royalties sales as a result of investigation and supervision by the Securities and Futures Commission regarding the decision to be delisted. It was announced that the prosecution had filed a complaint against the CEO of the recommendation for dismissal and that a corrective action was taken. Accordingly, even if the reason for rejection of opinion due to the limitation of the scope of audit, which is the existing reason for delisting, is resolved, the reason for delisting substantive examination will be added. The Korea Exchange said that C&S Technology announced on the day that it was decided to be subject to substantive examination of delisting on charges of embezzlement and breach of trust. Listed company's business performance Incredibles Another mutilated body found in Siheung apartment The Siheung torn murder suspect has a reputation for her husband... The judge who saw her daughter molesting her smile got angry and got a car that was more expensive than the full-option president. Real-time news with money of journalists and copyright holders Money Today Prohibited from unauthorized reproduction and redistribution"
7,"As the deadline for submitting an audit report for monthly settlement companies approaches, the outline of the KOSDAQ market is revealing this year as well. It seems that the shareholder meeting season to discuss the fruits is a season of threshing in which some KOSDAQ stocks discuss life and death. In business, trading of Oullim Net, Oullim Elsis, Oullim Information Technology Millinet, etc. has been suspended due to a lot of work. Netwave decided to delist. The list of killers is expected to become more certain as the results of the investigation by the Financial Supervisory Service’s theme week crackdown team are announced and the audit report submission time is nearing the end of this month. They demanded the disclosure of the facts and specific details of the accounting fraudulent hypothesis. The period of suspension of trading transactions is until the time elapsed after the announcement of the inquiry result. A representative of the exchange said that he requested a disclosure of inquiry at the request of the Market Monitoring Committee, suggesting that the City Supervisory Commission had concrete evidence. Oullimnet also surged during the same period. The reason is the theory that the closest aides to the president of the Roh Moo-hyung Foundation, Moon Jae-in, are relatives to the president of Oullim LS, and the theory that the recently appointed director of Oullim Net is a relative of the president. Oullim LSIS was also selected as a beneficiary of Hyundai Motor Company's electric bicycle development in relation to the acquisition of electric bicycle-related patents last year. Information is a network security product vendor. All three of these stocks are won-denominated coin stocks. There is also an observation that the operating forces may have attracted individual investors by putting out political themes or good news because the stock price is cheap. The exchange has requested disclosure related to the stock price surge, but Oullim Elsis does not have important information to disclose separately. He said that there is a plan to issue less than KRW billion in a small public offering, but the exact amount and schedule have not been decided. Regarding Mirinet, the KOSDAQ Market Headquarters said that for investor protection, trading will be suspended until the date of decision on whether or not to be subject to substantive examination of delisting or until the cause is resolved. The reason is that the company has decided to abolish the rehabilitation procedure. The company explained that it was because the debtor's liquidation value was greater than the continuing value of the company. Millinet announced that it will continue its efforts to complete the ongoing investment attraction and conduct business activities normally. Meanwhile, the KOSDAQ Market Headquarters listed Netwave as a result of comprehensive consideration of corporate continuity and management transparency as a result of the delisting substantive review committee. It has been decided that it falls under the criteria for abolition. Reporter Su-jeong Shin. Government Earthquake Tokyo Hit Warning and Fear Attack iPad High-resolution armament price as it is. Don't be afraid of Moon Jae-in. Don't be afraid of serving people. Unauthorized reproduction and redistribution prohibited"
8,코스피신일건업은 지난해 영업이익이 전년대비 . 줄어든 억 만원이라고 일 공시했다. 매출액은 같은기간 . 줄어든 억 만원 당기순손실은 억 만원으로 적자전환했다.고려포리머는 지난해 영업손실이 억만원으로 전년 대비 적자전환했다고 일 공시했다. 매출액은 억만원으로 . 늘었고 당기순손실은 억만원으로 적자전환한했다.한전는 한국중부발전과 억 만원 규모의 년 발전설비 경상정비공사 계약을 체결했다고 일 공시했다. 최근 매출액 대비 . 규모다.인터내셔널은 지난해 영업손실이 억 만원으로 전년대비 적자가 지속됐다고 일 공시했다. 매출액은 억만원으로 같은기간 . 늘었으나 순손실은 억만원으로 적자지속했다.웅진홀딩스는 자회시 지분 매각추진 보도에 대한 조회공시에 자회사 웅진코웨이 지분 매각 추진을 위해 매각주관사로 골드만삭스를 선정했다고 일 답변했다.매각방식은 공개매각 방식으로 진행될 예정이며 추가적인 내용이 확인되는 시점 또는 개월 이내에 재공시할 예정이다.쌍용머티리얼은 일 현저한 시황변동과 관련한 조회공시 답변에서 향후 개월 이내 감사보고서 제출 정기주주총회 개최 사업보고서 등 공시가 예정된 것 외 진행중이거나 확정된 사항이 없다고 밝혔다.넥센은 일 최대주주가 강병중 회장 외 명에서 강호찬 사장 외 명으로 변경됐다고 공시했다. 최대주주 지분율은 .다. 변경사유는 현물출자 유상증자 참여다.사조산업은 보통주 주당 원의 현금배당을 결정했다고 일 공시했다. 시가배당률은 . 배당금 총액은 억만원이다.는 일 지난해 영업이익이 억만원으로 전년대비 . 늘었다고 공시했다.같은 기간 매출액은 억만원으로 전년대비 . 늘었으나 순이익은 억만원으로 . 감소했다.벽산건설은 일 지난해 영업손실이 억 만원으로 전년대비 적자지속했다고 공시했다.같은 기간 매출액은 억만원으로 전년대비 . 줄었고 당기순손실은 억만원으로 적자지속했다.매출액 감소 이유는 주택시장 장기침체에 따른 신규착공현장의 감소다 .벽산건설은 작년 결산 기준 자본총계 억원으로 자본금 억원을 크게 밑돈다. 자산총계 조억원의 대부분이 부채총계 조억원으로 이뤄져 자본잠식  이상 사유가 발생했다.벽산건설은 재무구조 개선을 위해 보통주 우선주 주를 동일한 액면주식 각 주로 병합하는 감자를 결정했다. 감자후 주식수는 만 주에서 만 주로 자본금은 억원에서 억원으로 감소한다.대상홀딩스는 지난해 영업이익이 억만원 적자에서 억만원 흑자로 정정됐다고 일 공시했다. 증감비율은 .다.매출액은 같은기간 억원에서 억으로 늘어 전년대비 . 증가했다. 당기순이익은 억원에서 억원으로 소폭 감소했다.외환은행은 일 장화식씨 외 인이 서울중앙지방법원에 의결권행사금지가처분을 신청했다고 공시했다.외환은행은 법무법인와 협의 하에 법적 절차에 따라 대응할 예정이라고 밝혔다.하나금융지주는 일 지분 추가 목적으로 억원 이내의 외환은행 주식을 장내매수한다고 공시했다. 자기자본대비 . 규모다.취득예정일자는 이사회 결의일 이후 년 이내로 구체적인 매입시점은 미정이다아인스는 일 지난해 영업손실이 억만원으로 전년대비 적자지속했다고 공시했다.매출액은 같은기간 . 증가한 억만원 당기순손실은 억만원으로 적자지속했다한전산업은 일 바이오에너지 연료 생산 및 공급을 위해 억원을 투자해 특수목적법인를 설립한다고 공시했다. 취득 후 소유주식수는 만주 지분비율은 다코스닥피에스케이는 지난해 영업이익이 전년대비 . 줄어든 억 만원이라고 일 공시했다. 매출액은 억 만원으로 같은기간 . 줄었고 당기순이익은 . 감소한 억 만원이다.서울전자통신은 지난해 영업이익이 억 만원으로 전년대비 . 줄었다고 일 공시했다.매출액은 같은기간 . 증가한 억 만원 당기순이익은 억 만원으로 . 감소했다.어울림엘시스는 주가급등 관련 조회공시에 별도로 공시할 중요한 정보가 없다고 일 답변했다.한국거래소 코스닥시장본부는 일 티피씨글로벌의 무상증자에 따른 권리락 기준가가 원으로 결정됐다고 밝혔다. 권리락 실시일은 일이다.한국거래소 코스닥시장본부는 일 쎄니트의 내부결산 결과 사업연도 연속 영업손실이 발생해 관리종목 지정이 우려된다고 밝혔다.동 사유가 감사보고서에서 확인될 경우 관리종목으로 지정될 수 있다고 설명했다. 쎄니트는 이날 지난해 영업손실이 억만원으로 전년대비 적자지속했다고 공시했다.폴리플러스는 정기주주총회를 위한 주주명부폐쇄 후 주주명부 확인한 결과 최대주주가 이준오씨에서 박종환씨로 변경됐다고 일 공시했다. 최대주주의 지분율은 .다.현대아이티는 최대주주가 엘라파트너스에서 씨앤팜으로 변경됐다고 일 공시했다. 변경사유는 제자배정 유상증자 참여다. 최대주주 지분율은 .다.보령메디앙스는 지난해 영업손실이 억만원으로 전년대비 적자전환했다고 일 공시했다. 매출액은 같은기간 . 줄어든 억 만원 당기순손실은 억 만원으로 적자전환했다.씨씨에스충북방송은 씨씨비가 청주지방법원 충주지원에 억 만원의 손해배상 청구 소송을 제기했다고 일 공시했다. 자기자본대비 . 규모다.회사 측은 소송대리인을 통하여 법적인 절차에 따라 대응할 예정이라고 밝혔다.한빛소프트는 일 지난해 영업손실이 억만원으로 전년대비 적자지속했다고 공시했다.같은 기간 매출액은 억만원으로 전년대비 . 늘었으나 순손실은 억만원으로 적자지속했다.는 지난해 영업이익이 억만원으로 전년대비 흑자전환했다고 일 공시했다.매출액은 같은기간 . 늘어난 억 만원 당기순이익은 만원으로 . 증가했다.미리넷은 서울중앙지방법원으로부터 회생절차 폐지를 결정 받았다고 일 공시했다.법원은 채무자의 청산가치가 계속기업 가치보다 크다고 인정해 채무자 회생및 파산에관한법률 제조에 의해 회생절차폐지를 결정했다고 설명했다.미리넷 측은 진행중인 투자유치를 마무리해 정상적으로 기업활동 활동할 수 있도록노력을 지속하고 이의신청기간내 추후 항고 또는 회생절차재신청을 계획중이라고 밝혔다.한편 코스닥시장본부는 미리넷에 대해 투자자 보호를 위해 상장폐지 실질심사 대상여부에 관한 결정일까지 또는 사유해소시까지 주권매매 거래 정지시켰다.한국거래소 코스닥시장본부는 어울림정보기술에 대해 주가급등에 관련 조회공시를 일 요구했다. 답변시한은 일 오후까지다 엘피다 파산 파장 어디까지 신일건업 만만원 레고 재테크 장난 아니네 평균연봉 만원 삼성보다 많은 회사 어디 홈플러스 물가잡기 행사 휴지 판매 지구 바퀴반 손수조 후폭풍 새누리 사상 당원 여명 탈당 총선뛰는 연예인 가족 윤세인심은하 또김건우기자 저작권자  돈이 보이는 리얼타임 뉴스 머니투데이 무단전재 및 재배포 금지
9,코스피에이스이공이공은 신주인수권 표시증서 매매에 따라 잠재주식수에 변동이 발생해 케이아이씨 지분율이 종전의 .에서 .로 상승했다고 일 공시했다.대우인터내셔널은 지난해 영업이익이 억원으로 전년 대비 . 급증했다고 일 공시했다. 이 기간 매출액은 조억원으로 . 당기순이익은 억원으로 . 각각 증가했다.대우인터내셔널은 이날 또 보통주 주당 원의 현금 배당을 실시키로 결정했다고 밝혔다. 시가배당률은 . 배당금총액은 억원이다.교보증권은 일 콜차입 한도 축소에 따른 자금 조달원의 다변화를 위해 억원 규모의 기업어음을 발행키로 결정했다고 공시했다.이번  발행으로 교보증권의 단기차입금은 억원으로 불어난다.  발행 규모는 지난해 월 말 기준 자기자본의 . 수준이다.삼호는 지난해 영업손실이 억만원으로 전년 대비 . 증가했다고 일 공시했다.이 기간 당기순손실은 억원으로 . 감소했고 매출액은 억원으로 . 증가했다.포스코는 일 프랑스 사 인수 검토 보도에 대한 조회공시 답변을 통해 사 인수에 대해 구체적으로 검토한 바가 없으나 향후 국내 조선업계의 요청이 있을 경우 인수 참여를 검토하겠다고 밝혔다.삼영화학은 일 최대주주의 특수관계인인 관정재단이 만주를 장내서 매각 최대주주측 지분율이 종전의 .에서 .로 낮아졌다고 공시했다.한국지역난방공사는 지난해 월 매출액이 억만원으로 전기 대비 . 전년 동기 대비 . 증가했다고 일 공시했다.열 판매량이 전월에 비해 . 급증했으며 전기 판매량도 . 증가했다. 냉수판매량은 전월에 비해 소폭 감소했다.포스코는 지난해 영업이익이 조억원으로 전년 동기에 비해 . 감소했다고 일 공시했다.이 기간 매출액은 조억원으로 . 증가했으나 당기순이익은 조억원으로 . 감소했다.포스코는 이날 또 보통주 주당 원의 현금배당을 실시키로 결정했다고 밝혔다.시가배당률은 . 배당금총액은 약 억원이다.포스코는 일 약 조억원을 출자해 서호주 필브라지역 철광석 광산 개발 업체인 로이힐홀딩스의 지분 를 인수키로 결정했다고 공시했다.이번 투자는 로이힐 철광석 프로젝트 지분 참여 형태로 진행되며 포스코는 앞서 로이힐 철광석 프로젝트에 억만호주달러를 출자한 바 있다.포스코는 억원을 출자해 오는 일 계열사 포스코기술투자 보통주 만주를 취득키로 했다고 일 공시했다.포스코는 이날 또 특수관계인인 포스코교육재단과 포스코사내근로복지지금에 각각 억원 억원을 증여키로 했다고 밝혔다.이중 포스코교육재단에 대한 증여는 추진일정을 감안해 개년간 총 회 분할 방식으로 진행된다.코스닥한국거래소 코스닥시장본부는 일 동양텔레콤 특수관계인이 보호예수 중인 주식을 예약매매하는 계약을 체결한 데 따라 해당 주식의 보호예수 기간을 년 연장키로 결정했다고 밝혔다.보호예수기간이 연장되는 주식은 민행식 동양텔레콤 부사장이 보유하고 있는 보통주 만여주로 해당 주식은 년 월일까지 보호예수기간이 년 추가된다.에스씨아시안어포튜니티펀드는 일 코메론 주식 만주를 보유하고 있다고 공시했다.에스씨아시안어포튜니티펀드는 지난 일부터 일까지 차례에 걸쳐 장내서 코메론 주식을 매집했다.풀브릴리언트홀딩스는 지난 일부터 일까지 차례에 걸쳐 성융광전투자유한공사 주식 만주를 장내서 매도했다고 일 공시했다.이번 매도로 풀브릴리언트홀딩스의 성융광전투자 지분율은 종전의 .에서 .로 낮아졌다.자연과환경은 일 운영자금 조달을 위해 억원 규모의 전환사채를 발행키로 결정했다고 공시했다.이번 사채의 표면이자율은  만기이자율은 이다.사채만기일은 년 월일이며 전환가액은 원이다.한국거래소 코스닥시장본부는 일 상장위원회 심의 결과 에이원마이크로 상장폐지가 타당하다는 결론을 내렸다고 밝혔다.한국거래소 코스닥시장본부는 일 상장위원회 결과 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려해 엔하이테크가 상장폐지 기준에 해당한다고 결정했다고 밝혔다.이에 따라 엔하이테크는 오는 일부터 일까지 정리매매에 들어간다.디오텍은 일 억원을 출자해 음성 합성 및 음성인식 솔루션 관련 계열사 에이치씨아이랩 주식 약 만주를 취득키로 결정했다고 공시했다.이번 지분 취득으로 디오텍 지분 를 보유하게 된다.어울림정보기술은 일 운영자금 조달을 위해 억원 규모의 전환사채를 공모 발행키로 결정했다고 공시했다.이번 사채의 표면이자율은 없으며 만기이자율은 이다. 사채 만기일은 년 월일이며 전환가액은 원이다.참테크글로벌은 일 시설자금 및 운영자금 조달을 위해 신한캐피탈을 상대로 억원 규모의 신주인수권부사채를 사모 발행키로 결정했다고 공시했다.이번 사채의 표면이자율은 없으며 만기이자율은 .이다.사채만기일은 년 월일이며 행사가액은 원이다.대원산업은 일 완성차 업체에 자동차부품 납품을 위한 현지법인 설립에 따라 염성대건기차배건유한공사를 계열사에 추가한다고 공시했다.계열사 추가에 따라 대원산업 계열사수는 개로 늘어났다.디오텍은 타법인 주식 취득 대금을 조달하기 위해 보유 중인 자사주 만주 전량을 오는 일 장외서 처분키로 결정했다고 일 공시했다.처분 가액은 원이며 전체 처분예정금액은 억만원이다.이번에 처분된 주식은 년간의 보호예수가 적용된다.아이텍반도체는 일 확장이전을 위해 공장 신축 등에 억원을 투자키로 결정했다고 공시했다. 이번 투자 규모는 아이텍반도체 자기자본의 . 수준이다.공장 건축에 억원 기숙사 건축에 억원 각각 투입된다.투자기간은 일부터 올해 말까지다.한국전자인증은 보통주 주당 원의 현금 배당을 실시키로 결정했다고 일 공시했다.이번 현금 배당의 시가배당률은 . 배당금총액은 억만원이다.후너스는 일 운영자금 조달을 위해 억원 규모의 자배정 유상증자를 실시키로 결정했다고 공시했다.이번 유상증자로 발행되는 신주 만주는 자회사의 임원인 박영광씨가 전량 인수한다. 신주 발행가액은 만원이다.세미텍은 지난해 매출액이 억원으로 전년 동기에 비해  증가했다고 일 잠정 공시했다.고려반도체시스템은 재무구조 개선 및 유동성 확보를 위해 보유 중이던 필옵틱스 주식 만주를 매각키로 결정했다고 일 공시했다.매각대금은 약 억원으로 고려반도체 자기자본의 . 수준이다.한국거래소 코스닥시장본부는 일 영업정지설과 관련 평안물산의 주권 매매 거래를 정지시킨다고 밝혔다.거래소는 이날 또 평안물산의 영업정지설 사실 여부 및 구체적 내용에 대한 조회공시를 요구했다. 답변시한은 일 오후까지다. 케이아이씨 꾼들도 깨지는 시기 부동산투자 쉬어라 하얀국물 라면 대박 그후 한성주 학력의혹 대학시절 들여다보니 베이징여행 만원 싸다고 갔다가 이럴수가 요즘 저금 대세는 엄성원기자 저작권자  돈이 보이는 리얼타임 뉴스 머니투데이 무단전재 및 재배포 금지
